	Lexeme			Token			Value
	#include <stdio.h>			Preprocessor Statement			0
	int			Keyword			1
	myfunc			Identifier			2
	(			Punctuator			3
	int			Keyword			4
	a			Identifier			5
	,			Punctuator			6
	int			Keyword			7
	b			Identifier			8
	)			Punctuator			9
	{			Punctuator			10
	return			Keyword			11
	a			Identifier			12
	+			Operator			13
	b			Identifier			14
	;			Punctuator			15
	}			Punctuator			16
	void			Keyword			17
	main			Identifier			18
	(			Punctuator			19
	)			Punctuator			20
	{			Punctuator			21
	int			Keyword			22
	a			Identifier			23
	,			Punctuator			24
	b			Identifier			25
	,			Punctuator			26
	i			Identifier			27
	;			Punctuator			28
	while			Keyword			29
	(			Punctuator			30
	a			Identifier			31
	<			Operator			32
	3			Constant			33
	)			Punctuator			34
	{			Punctuator			35
	a			Identifier			36
	=			Operator			37
	a			Identifier			38
	+			Operator			39
	b			Identifier			40
	;			Punctuator			41
	for			Keyword			42
	(			Punctuator			43
	i			Identifier			44
	=			Operator			45
	0			Constant			46
	;			Punctuator			47
	i			Identifier			48
	<			Operator			49
	b			Identifier			50
	;			Punctuator			51
	i			Identifier			52
	++			Operator			53
	)			Punctuator			54
	{			Punctuator			55
	b			Identifier			56
	++			Operator			57
	;			Punctuator			58
	myfunc			Identifier			59
	(			Punctuator			60
	a			Identifier			61
	,			Punctuator			62
	b			Identifier			63
	)			Punctuator			64
	;			Punctuator			65
	}			Punctuator			66
	a			Identifier			67
	++			Operator			68
	;			Punctuator			69
	}			Punctuator			70
	}			Punctuator			71
